Bênh viện U bướu Hà Nội,Thành phố Hà Nội,Quận Hai Bà Trưng,   Đc: 42A Thanh Nhàn- Hai Bà Trưng-Hà Nội.,21.004633,105.859168
Bệnh viện Tâm thần,Thành phố Hà Nội,Huyện Thường Tín , Đc: Đường 71- Thường Tín- Hà Nội,20.869578,105.843904
Bệnh viện phụ sản Hà Nội,Thành phố Hà Nội,Quận Ba Đình,Đc: La Thành- Ngọc Khánh- Ba Đình  Hà Nội,21.026795,105.807324
Bệnh viện tâm thần Hà Nội,Thành phố Hà Nội,Quận Long Biên,Đc: Ngõ 467 Nguyễn Văn Linh – P.Sài Đồng – Q.Long Biên – TP. Hà Nội,21.034633,105.909096
Trung tâm chống Lao Hà NộI,Thành phố Hà Nội,Quận Hai Bà Trưng ,Đc: SỐ 44 THANH NHÀN,- Quận Hai Bà Trưng- Hà Nội. ,21.003354,105.858341
Trung tâm mắt Hà Nội,Thành phố Hà Nội,Quận Hai Bà Trưng ,Đc: 37 – Hai Bà Trưng – Q.Hoàn Kiếm,21.018041,105.806789
Trung tâm y tế Đông Anh,Thành phố Hà Nội,Huyện Đông Anh ,Đc: Khối 1 Thị Trấn Đông Anh- Huyện Đông Anh - Hà Nội,21.145494,105.839294
Trung tâm Y tế huyện Thanh Trì,Thành phố Hà Nội,Huyện Thanh Trì,Đc: Thị trấn Văn Điển- Huyện Thanh Trì-Hà Nội.,20.948366,105.846213
Trung tâm Y tế Sóc Sơn,Thành phố Hà Nội,Huyện Thanh Oai,Đc: 54 Tiên Dược- TP Hà Đông- Hà Nội,21.258046,105.851457
Bệnh viện GTVT TƯ,Thành phố Hà Nội,Quận Đống Đa,Đc: 1194 Đường Láng - Đống Đa - Hà Nội,21.025979,105.803104
Bệnh Viện Khu vực 1 Nông Nghiệp,Thành phố Hà Nội,Huyện Thanh Trì,Đc: Đường Ngọc Hồi- Huyện Thanh Trì- Hà Nội,-,20.921122,105.853202
Bệnh viện Y học Cổ truyền TW,Thành phố Hà Nội  ,Huyện Thanh Trì,Đc: 29 Nguyễn Bỉnh Khiêm- Hà Nội.,21.016092,105.848614
Viện bỏng Lê Hữu Trác,Thành phố Hà Nội,Quận Đống Đa,Đc: Thôn Yên Xá- Xã Tân Triều- Huyện Thanh Trì- Hà Nội.,20.966166,105.791367
Viện da liễu,Thành phố Hà Nội,Quận Cầu Giấy,Đc: 15A - Phương Mai - Quận Đống Đa - Hà Nội,21.003802,105.838735
Viện huyết học truyền máu,Thành phố Hà Nội,Quận Cầu Giấy,Đc: Yên Hòa,- Cầu Giấy- Hà Nội,21.024901,105.788482
Viện lão khoa Quốc Gia,Thành phố Hà Nội,Quận Đống Đa,Đc: 1A Phố Phương Mai- Quận Đống Đa,- Hà Nội,21.003769,105.839559
Viện sức khỏe tâm thần,Thành phố Hà Nội,Quận Đống Đa,Đc: 78 Đường Giải Phóng- Quận Đống Đa- Hà Nội-,21.003004,105.838785
Viện tim mạch,Thành phố Hà Nội,Quận Hai Bà Trưng ,Đc: Giải Phóng- Hai Bà Trưng,21.000439,105.839579
Viện Y học lâm sàng các bệnh nhiệt đới,Thành phố Hà Nội,Quận Đống Đa,Đc: 78 GIẢI PHÓNG- P.PHƯƠNG MA- Q.ĐỐNG ĐA- TP. Hà Nội,21.001052,105.841141
